"","НазваПС","substance","lat","lon","valueType","value"
"163","оз. Китай, 0 км, Василівська ГНС","АмонійІониМгДм3",45.534333,29.167678,"mean",0.289714285714286
"164","оз. Китай, 0 км, Василівська ГНС","БСК5МгОДм3",45.534333,29.167678,"mean",9.25714285714286
"165","оз. Китай, 0 км, Василівська ГНС","ЗависліРечовиниМгДм3",45.534333,29.167678,"mean",165.371428571429
"166","оз. Китай, 0 км, Василівська ГНС","КисеньРозчиненийМгО2Дм3",45.534333,29.167678,"mean",9.2
"167","оз. Китай, 0 км, Василівська ГНС","НітратІониМгДм3",45.534333,29.167678,"mean",2.015
"168","оз. Китай, 0 км, Василівська ГНС","НітритІониМгДм3",45.534333,29.167678,"mean",0.0442857142857143
"169","оз. Китай, 0 км, Василівська ГНС","ПерманганатнаОкислюваністьМгОДм3",45.534333,29.167678,"mean",22.6
"170","оз. Китай, 0 км, Василівська ГНС","СинтетичніПоверхневоАктивніРечовиниМгДм3",45.534333,29.167678,"mean",0.039
"171","оз. Китай, 0 км, Василівська ГНС","СульфатІониМгДм3",45.534333,29.167678,"mean",1485.87142857143
"172","оз. Китай, 0 км, Василівська ГНС","ФосфатІониМгДм3",45.534333,29.167678,"mean",0.141285714285714
"173","оз. Китай, 0 км, Василівська ГНС","ХімічнеСпоживанняКиснюМгОДм3",45.534333,29.167678,"mean",167.85
"174","оз. Китай, 0 км, Василівська ГНС","ХлоридІониМгДм3",45.534333,29.167678,"mean",582.928571428571
"175","оз. Китай, 0 км, Червоноярська ГНС","АмонійІониМгДм3",45.598119,29.214936,"mean",0.397069306930693
"176","оз. Китай, 0 км, Червоноярська ГНС","БСК5МгОДм3",45.598119,29.214936,"mean",10.0592079207921
"177","оз. Китай, 0 км, Червоноярська ГНС","ЗависліРечовиниМгДм3",45.598119,29.214936,"mean",137.987128712871
"178","оз. Китай, 0 км, Червоноярська ГНС","КисеньРозчиненийМгО2Дм3",45.598119,29.214936,"mean",10.6316831683168
"179","оз. Китай, 0 км, Червоноярська ГНС","НітратІониМгДм3",45.598119,29.214936,"mean",1.82013265306122
"180","оз. Китай, 0 км, Червоноярська ГНС","НітритІониМгДм3",45.598119,29.214936,"mean",0.0269306930693069
"181","оз. Китай, 0 км, Червоноярська ГНС","ПерманганатнаОкислюваністьМгОДм3",45.598119,29.214936,"mean",21.1030303030303
